City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Cabo San Lucas,22.89,-109.91,90.0,58,5,10.29,MX,1595027061
Tuatapere,-46.13,167.68,39.0,83,39,3.0,NZ,1595027191
Souillac,-20.52,57.52,69.8,73,40,11.41,MU,1595027191
Mataura,-46.19,168.86,39.0,83,0,3.0,NZ,1595027191
Butaritari,3.07,172.79,83.3,76,22,15.64,KI,1595027192
Kumul,42.8,93.45,76.77,19,0,8.9,CN,1595027192
New Norfolk,-42.78,147.06,39.0,85,100,2.84,AU,1595027192
Hithadhoo,-0.6,73.08,83.88,75,98,10.49,MV,1595027192
Avanigadda,16.02,80.92,81.41,78,89,8.37,IN,1595027192
Rikitea,-23.12,-134.97,73.51,82,100,14.47,PF,1595027192
Dumas,35.87,-101.97,102.0,19,1,16.11,US,1595027192
Hermanus,-34.42,19.23,60.98,44,0,8.21,ZA,1595027193
Tasiilaq,65.61,-37.64,50.0,53,0,5.82,GL,1595026984
Albany,42.6,-73.97,84.0,58,45,5.61,US,1595027119
Kisangani,0.52,25.2,69.67,95,49,1.81,CD,1595027193
Makat,47.65,53.35,86.97,45,53,11.65,KZ,1595027193
Busselton,-33.65,115.33,45.0,88,95,8.88,AU,1595027193
Alofi,-19.06,-169.92,80.6,69,42,12.75,NU,1595027193
Longyearbyen,78.22,15.64,48.2,76,40,13.87,SJ,1595027103
Barrow,71.29,-156.79,37.4,74,90,17.22,US,1595026967
Pisco,-13.7,-76.22,64.4,72,6,16.11,PE,1595027194
Punta Arenas,-53.15,-70.92,33.01,94,75,9.17,CL,1595027194
Kyshtovka,56.55,76.63,61.74,90,51,6.53,RU,1595027194
Găleşti,46.52,24.75,61.0,93,90,1.12,RO,1595027194
Āreka,7.07,37.7,59.95,90,82,2.26,ET,1595027195
Kapaa,22.08,-159.32,88.0,74,20,8.05,US,1595027195
Atuona,-9.8,-139.03,79.21,77,25,17.38,PF,1595027195
San Patricio,19.22,-104.7,86.0,66,40,11.41,MX,1595027195
Moose Factory,51.26,-80.61,77.0,47,40,10.29,CA,1595027195
Stilfontein,-26.84,26.77,45.16,40,0,2.3,ZA,1595027195
Belmonte,-15.86,-38.88,71.6,68,0,3.36,BR,1595027196
Chirongui,-12.93,45.15,77.0,69,20,17.22,YT,1595027196
Ushuaia,-54.8,-68.3,28.4,86,68,6.93,AR,1595027145
Honiara,-9.43,159.95,80.6,88,90,5.5,SB,1595027196
La Ronge,55.1,-105.28,62.6,88,75,12.75,CA,1595027196
Carnarvon,-24.87,113.63,51.8,93,0,10.29,AU,1595027097
Fairbanks,64.84,-147.72,68.0,59,75,9.17,US,1595027196
Dikson,73.51,80.55,40.53,96,92,10.22,RU,1595027197
Kabanjahe,3.1,98.49,77.0,100,40,3.36,ID,1595027197
Marsh Harbour,26.54,-77.06,83.1,79,97,17.9,BS,1595027115
Luanshya,-13.14,28.42,44.06,88,23,5.48,ZM,1595027197
Saint Paul Harbor,57.79,-152.41,60.8,72,90,10.29,US,1595027197
Marshalltown,42.05,-92.91,87.8,66,75,14.99,US,1595027197
Severnyy,50.68,36.55,60.8,72,90,4.47,RU,1595027198
Avarua,-21.21,-159.78,73.4,60,11,12.75,CK,1595027198
Nogliki,51.83,143.17,58.78,96,100,1.52,RU,1595027198
Tuktoyaktuk,69.45,-133.04,50.0,76,40,11.41,CA,1595027198
Hobart,-42.88,147.33,41.0,80,75,10.29,AU,1595026965
Kruisfontein,-34.0,24.73,58.03,31,0,12.62,ZA,1595027198
Port Shepstone,-30.74,30.45,58.93,35,0,8.12,ZA,1595027198
Aklavik,68.22,-135.01,62.6,63,75,5.82,CA,1595027199
Kalemie,-5.95,29.19,70.84,62,5,23.11,CD,1595027199
Avera,33.19,-82.53,93.2,46,1,8.05,US,1595027199
Hilo,19.73,-155.09,84.2,66,75,10.29,US,1595027199
Saskylakh,71.92,114.08,50.59,80,99,8.05,RU,1595027199
Arraial do Cabo,-22.97,-42.03,70.27,78,2,17.43,BR,1595027200
Bluff,-46.6,168.33,39.0,83,12,3.0,NZ,1595027200
Paamiut,61.99,-49.67,47.16,72,44,4.54,GL,1595027200
Upernavik,72.79,-56.15,45.82,61,76,7.16,GL,1595027200
Langsa,4.47,97.97,72.95,90,30,1.97,ID,1595027200
Hasaki,35.73,140.83,66.2,100,75,9.17,JP,1595027200
Schkeuditz,51.4,12.22,64.0,72,40,5.82,DE,1595027200
Lüderitz,-26.65,15.16,66.2,25,0,8.05,NA,1595027201
Nantucket,41.28,-70.1,69.8,88,90,11.41,US,1595026989
Jos,9.92,8.9,64.4,94,96,3.76,NG,1595027201
Nanortalik,60.14,-45.24,46.81,67,0,12.75,GL,1595027201
High Level,58.52,-117.14,60.8,93,90,3.36,CA,1595027201
Cape Town,-33.93,18.42,62.6,39,0,13.87,ZA,1595027003
Afşin,38.25,36.91,68.36,58,0,3.29,TR,1595027201
Xiaoshan,30.17,120.26,84.99,100,40,2.24,CN,1595027202
Puerto Ayora,-0.74,-90.35,70.0,88,48,3.0,EC,1595027202
Bredasdorp,-34.53,20.04,44.6,87,0,2.24,ZA,1595027202
Nikolskoye,59.7,30.79,57.2,82,15,4.47,RU,1595027202
Ponta do Sol,32.67,-17.1,73.0,78,20,2.24,PT,1595027202
Takaka,-40.85,172.8,57.99,65,98,7.0,NZ,1595027202
Ilfracombe,51.21,-4.11,60.01,94,86,4.0,GB,1595027203
Bījār,35.87,47.61,63.45,50,0,4.41,IR,1595027203
Voh,-20.97,164.7,73.6,47,0,1.59,NC,1595027203
Castro,-24.79,-50.01,58.96,89,0,2.39,BR,1595027203
Charagua,-19.8,-63.22,73.72,54,14,13.2,BO,1595027203
Menongue,-14.66,17.69,44.74,59,0,4.92,AO,1595027203
Thompson,55.74,-97.86,71.6,49,90,4.7,CA,1595027035
Vila Franca do Campo,37.72,-25.43,68.0,82,75,4.7,PT,1595027204
Dingle,11.0,122.67,79.09,83,99,6.2,PH,1595027204
Atarra,25.28,80.57,89.28,60,71,0.13,IN,1595027204
Guerrero Negro,27.98,-114.06,80.91,44,0,15.26,MX,1595027204
Jamestown,42.1,-79.24,78.01,65,1,11.41,US,1595027204
George Town,5.41,100.34,78.8,100,20,6.04,MY,1595027204
Portland,45.52,-122.68,75.0,46,75,14.99,US,1595026948
Saint-François,46.42,3.91,57.99,82,31,3.27,FR,1595027205
Itaituba,-4.28,-55.98,77.59,85,60,1.1,BR,1595027205
Klaksvík,62.23,-6.59,50.0,87,71,20.8,FO,1595027205
East London,-33.02,27.91,62.92,27,0,6.69,ZA,1595027205
Belaya Gora,68.53,146.42,57.85,50,0,6.33,RU,1595027205
Kavieng,-2.57,150.8,83.35,76,91,9.55,PG,1595027206
Bagdarin,54.43,113.6,55.8,66,73,2.55,RU,1595027206
Hervey Bay,-25.3,152.85,66.0,71,0,8.05,AU,1595027206
Mareeba,-17.0,145.43,62.6,72,100,10.29,AU,1595027206
Taoudenni,22.68,-3.98,100.31,18,0,8.19,ML,1595027207
Bereda,43.27,-7.54,63.0,99,20,5.99,ES,1595027207
Mahébourg,-20.41,57.7,69.8,73,40,11.41,MU,1595027207
Lagoa,39.05,-27.98,69.73,82,77,10.94,PT,1595027207
Mar del Plata,-38.0,-57.56,51.01,93,100,12.75,AR,1595027193
Narsaq,60.92,-46.05,64.4,45,0,6.93,GL,1595027207
North Bend,43.41,-124.22,66.0,63,1,23.04,US,1595027207
Cap Malheureux,-19.98,57.61,66.0,79,0,3.0,MU,1595027207
Novyy Nekouz,57.9,38.07,50.94,97,63,5.3,RU,1595027208
Yellowknife,62.46,-114.35,68.0,40,75,9.17,CA,1595027208
Tromsø,69.65,18.96,55.4,93,75,26.4,NO,1595027208
Touros,-5.2,-35.46,77.0,88,40,6.93,BR,1595027208
Hambantota,6.12,81.12,79.81,81,100,13.29,LK,1595027208
Tari,12.41,4.49,81.45,67,45,6.98,NG,1595027208
Umm Kaddadah,13.6,26.69,85.53,44,34,5.44,SD,1595027209
Bethel,41.37,-73.41,81.0,69,1,4.7,US,1595027209
Mahon,39.89,4.27,69.8,77,20,4.7,ES,1595027209
Padang,-0.95,100.35,76.95,77,73,3.33,ID,1595027209
Balkhash,46.84,74.98,78.55,41,71,9.62,KZ,1595027209
Qaanaaq,77.48,-69.36,45.77,71,100,9.31,GL,1595027209
Auki,-8.77,160.7,83.1,73,77,5.44,SB,1595027209
Port Alfred,-33.59,26.89,64.51,28,0,10.0,ZA,1595027209
Raudeberg,61.99,5.14,57.2,76,16,18.34,NO,1595027210
Zhezkazgan,47.8,67.71,77.02,40,24,11.12,KZ,1595027210
Leningradskiy,69.38,178.42,37.9,84,96,15.66,RU,1595027210
Kasane,-17.82,25.15,46.42,56,0,4.63,BW,1595027210
Hong Kong,22.29,114.16,84.99,79,100,8.99,HK,1595027210
Lockport,41.59,-88.06,86.0,58,1,9.17,US,1595027210
Sabzawār,36.21,57.68,76.08,34,0,10.89,IR,1595027211
Yangi Marg`ilon,40.43,71.72,77.0,38,99,9.17,UZ,1595027211
Killarney,52.05,-9.52,59.22,91,100,6.38,IE,1595027211
Saint-Philippe,-21.36,55.77,64.4,77,90,8.05,RE,1595027211
Pangnirtung,66.15,-65.71,50.0,81,90,9.17,CA,1595027211
La Foa,-21.71,165.83,73.4,49,4,4.7,NC,1595027211
Peebles,55.65,-3.19,57.99,10,100,6.13,GB,1595027212
Saldanha,-33.01,17.94,50.0,76,0,3.36,ZA,1595027212
Hamilton,39.18,-84.53,90.0,58,1,6.93,US,1595027059
Atbasar,51.8,68.33,72.86,73,69,11.72,KZ,1595027212
Jega,12.22,4.38,80.85,69,27,7.85,NG,1595027212
Trairi,-3.28,-39.27,77.79,77,49,9.15,BR,1595027212
Manthani,18.65,79.67,78.69,86,94,4.9,IN,1595027212
Zhangjiakou,40.81,114.88,63.18,80,96,3.04,CN,1595027213
Constitución,-35.33,-72.42,55.81,90,91,21.74,CL,1595027007
Iqaluit,63.75,-68.51,51.8,87,75,10.29,CA,1595027213
Sterling,39.01,-77.43,95.0,41,40,3.36,US,1595027114
Lanzhou,36.06,103.79,60.01,88,100,6.96,CN,1595027213
Togur,58.36,82.83,51.22,82,0,2.82,RU,1595027214
Vaini,-21.2,-175.2,77.0,94,75,9.17,TO,1595027214
Imeni Babushkina,59.76,43.13,54.12,97,37,3.98,RU,1595027214
Mossamedes,-15.2,12.15,68.65,54,0,4.72,AO,1595027214
Ajdabiya,30.76,20.23,74.01,63,0,10.71,LY,1595027214
Albanel,48.88,-72.45,69.8,88,75,4.7,CA,1595027214
Usinsk,65.99,57.53,58.33,96,74,6.49,RU,1595027214
Maragogi,-9.01,-35.22,74.37,87,36,13.15,BR,1595027215
Zhigansk,66.77,123.37,57.45,95,100,5.19,RU,1595027226
Nishihara,26.18,127.76,84.0,88,90,8.05,JP,1595027226
Xining,36.62,101.77,53.35,85,100,2.35,CN,1595027226
Agadez,19.75,10.25,87.75,13,4,7.85,NE,1595027226
Bondo,3.81,23.69,67.77,98,100,1.32,CD,1595027227
Muhos,64.81,25.99,60.8,82,49,4.7,FI,1595027227
Harper,4.38,-7.72,75.06,80,2,6.35,LR,1595027227
Farim,12.48,-15.22,74.88,91,100,8.93,GW,1595027227
Derzhavīnsk,51.1,66.32,73.92,68,7,12.24,KZ,1595027227
Airai,-8.93,125.41,59.4,99,31,3.78,TL,1595027227
Sungai Penuh,-2.08,101.38,63.73,92,77,2.91,ID,1595027227
Torbay,47.67,-52.73,50.0,100,90,13.87,CA,1595027228
Doumé,4.23,13.45,68.25,95,72,3.98,CM,1595027228
Kirensk,57.79,108.11,52.38,90,97,7.36,RU,1595027228
Samarai,-10.62,150.67,76.17,85,100,15.66,PG,1595027228
Antsohihy,-14.88,47.99,70.07,54,51,13.49,MG,1595027228
Lebu,-37.62,-73.65,52.38,87,0,16.58,CL,1595027228
Udachny,66.42,112.4,55.4,76,75,2.24,RU,1595027228
Katsuura,35.13,140.3,69.8,100,90,2.24,JP,1595027228
Clyde River,70.47,-68.59,42.8,87,20,18.34,CA,1595026985
Waingapu,-9.66,120.26,74.8,83,6,7.72,ID,1595027229
Kahului,20.89,-156.47,93.2,49,40,20.8,US,1595027229
Khatanga,71.97,102.5,39.6,92,100,10.2,RU,1595027229
Walvis Bay,-22.96,14.51,68.0,15,0,12.75,NA,1595027229
Bengkulu,-3.8,102.27,75.25,85,73,3.78,ID,1595027229
Pierre,44.37,-100.35,104.0,27,1,14.99,US,1595027191
Tual,-5.67,132.75,78.76,84,65,20.69,ID,1595027229
Washington,47.5,-120.5,82.4,26,1,19.46,US,1595027158
Kalabo,-14.97,22.68,50.67,48,0,7.36,ZM,1595027230
Janesville,42.68,-89.02,84.2,62,75,10.29,US,1595027119
Lorengau,-2.02,147.27,84.85,72,84,8.66,PG,1595027230
Chumikan,54.72,135.31,54.27,94,100,8.77,RU,1595027230
Kawalu,-7.38,108.21,70.95,93,82,2.8,ID,1595027230
Ogbomosho,8.13,4.25,70.3,98,90,4.68,NG,1595027230
Livingston,55.9,-3.52,57.2,87,90,6.93,GB,1595027230
Hualmay,-11.1,-77.61,61.05,79,7,9.26,PE,1595027231
Ostrovnoy,68.05,39.51,49.98,64,12,3.2,RU,1595027231
Adrar,20.5,-10.07,96.03,22,0,3.98,MR,1595027231
Lavrentiya,65.58,-171.0,49.12,70,0,4.92,RU,1595027231
Suntar,62.14,117.63,57.36,87,100,4.79,RU,1595027231
At-Bashi,41.17,75.81,57.04,70,99,0.25,KG,1595027232
Port Macquarie,-31.43,152.92,60.01,75,28,3.0,AU,1595027232
Prince Rupert,54.32,-130.32,57.2,82,90,5.82,CA,1595026980
Cocobeach,1.0,9.58,78.8,83,75,6.93,GA,1595027232
Comodoro Rivadavia,-45.87,-67.5,44.6,93,40,3.36,AR,1595027054
Araouane,18.9,-3.53,100.27,20,38,5.82,ML,1595027232
Cururupu,-1.83,-44.87,74.86,90,7,2.46,BR,1595027232
Abdulino,53.7,53.67,66.06,97,90,9.24,RU,1595027232
Kempele,64.91,25.5,60.8,82,66,4.7,FI,1595027232
Baculin,7.45,126.58,81.01,74,100,5.79,PH,1595027233
Mount Gambier,-37.83,140.77,48.2,70,100,8.05,AU,1595027233
Karratha,-20.74,116.85,71.13,68,97,4.36,AU,1595027233
Eskil,38.4,33.41,70.48,60,3,8.84,TR,1595027233
Warrnambool,-38.38,142.48,46.99,84,100,10.0,AU,1595026960
Yacuiba,-22.04,-63.68,73.51,53,61,4.76,BO,1595027233
Atocha,-20.93,-66.23,40.06,54,23,4.09,BO,1595027234
Panguna,-6.32,155.48,77.2,79,96,3.58,PG,1595027234
Vardø,70.37,31.11,53.6,87,100,18.34,NO,1595027234
Blairmore,49.6,-114.44,75.2,43,75,13.87,CA,1595027234
Sokoni,-6.43,39.55,75.2,64,40,10.29,TZ,1595027234
Taguatinga,-12.39,-46.57,76.12,42,0,7.9,BR,1595027234
Fare,-16.7,-151.02,78.73,74,0,9.89,PF,1595027234
Zaqatala,41.63,46.64,77.0,65,40,6.93,AZ,1595027234
Hofn,64.25,-15.21,53.2,67,97,14.38,IS,1595027235
Muros,42.78,-9.06,73.0,51,0,1.99,ES,1595027235
Kiryat Gat,31.61,34.76,75.99,69,0,3.83,IL,1595027235
Waipawa,-41.41,175.52,55.99,75,99,5.01,NZ,1595027235
Vinstra,61.6,9.75,57.11,73,99,3.27,NO,1595027235
Khani,41.96,42.96,71.6,94,85,3.36,GE,1595027235
Romny,50.75,33.47,57.83,83,0,2.1,UA,1595027236
Iskateley,67.68,53.15,53.2,86,99,7.74,RU,1595027236
Grindavik,63.84,-22.43,44.6,75,75,29.97,IS,1595027236
Pamanukan,-6.28,107.81,73.92,84,1,3.96,ID,1595027002
Port Hardy,50.7,-127.42,66.2,55,20,16.11,CA,1595027236
Ambilobe,-13.2,49.05,65.1,82,0,3.31,MG,1595027236
Kungurtug,50.6,97.52,50.63,72,43,0.92,RU,1595027236
Sault Ste. Marie,46.52,-84.33,80.6,47,75,6.93,CA,1595027236
Buraidah,26.33,43.98,93.2,18,29,6.93,SA,1595027151
Nome,64.5,-165.41,66.99,63,1,9.17,US,1595027237
Dickinson,29.46,-95.05,89.01,58,20,9.17,US,1595027237
Vestmannaeyjar,63.44,-20.27,49.05,74,48,32.23,IS,1595027237
Araguaçu,-12.93,-49.83,76.19,35,0,3.96,BR,1595027237
Caohe,30.23,115.43,81.0,91,96,3.67,CN,1595027237
Llanes,43.42,-4.75,64.99,92,0,11.99,ES,1595027237
Ilembula,-8.9,34.58,51.3,67,0,11.99,TZ,1595027238
Vao,-22.67,167.48,69.3,71,9,14.23,NC,1595027238
Aswān,24.09,32.91,82.4,23,2,7.92,EG,1595027238
Kavaratti,10.57,72.64,83.01,79,99,18.9,IN,1595027238
Pachmarhi,22.47,78.43,69.01,100,30,3.71,IN,1595027238
Poconé,-16.26,-56.62,78.98,30,0,3.11,BR,1595027238
Pevek,69.7,170.31,45.39,80,40,4.65,RU,1595027238
Jardim,-21.48,-56.14,74.52,42,0,3.62,BR,1595027238
Faanui,-16.48,-151.75,77.27,80,1,14.18,PF,1595027239
Esperance,-33.87,121.9,42.8,93,84,14.99,AU,1595027042
Chokurdakh,70.63,147.92,53.51,49,0,7.25,RU,1595027239
Smidovich,48.6,133.82,74.75,89,20,5.5,RU,1595027239
Saint Anthony,45.02,-93.22,90.0,52,40,12.75,US,1595027239
Chilchota,19.85,-102.13,73.0,68,40,6.93,MX,1595027239
Kharitonovo,61.4,47.5,55.62,95,9,2.75,RU,1595027239
Margate,51.38,1.39,66.0,76,1,1.01,GB,1595026982
Presidencia Roque Sáenz Peña,-26.79,-60.44,73.74,70,18,7.34,AR,1595027240
Wang Saphung,17.3,101.77,75.09,90,100,1.79,TH,1595027240
Kotka,60.47,26.95,62.6,72,36,1.12,FI,1595027240
Laguna,38.42,-121.42,91.99,25,1,11.41,US,1595027240
Anadyr,64.75,177.48,57.2,76,20,8.95,RU,1595027240
Karoi,-16.81,29.69,44.96,87,0,3.91,ZW,1595027240
Norman Wells,65.28,-126.83,75.2,36,40,5.82,CA,1595027240
Idah,7.11,6.73,71.29,92,99,0.94,NG,1595027241
Bridlington,54.08,-0.19,64.4,77,96,6.93,GB,1595027146
Port Hedland,-20.32,118.57,59.0,87,90,4.7,AU,1595027241
Ganzhou,28.82,115.43,80.85,82,100,5.99,CN,1595027241
Askino,56.09,56.58,63.16,95,71,3.74,RU,1595027241
Ribeira Grande,38.52,-28.7,70.07,78,13,14.0,PT,1595027241
Ilhabela,-23.78,-45.36,67.05,83,6,6.26,BR,1595027242
Bambous Virieux,-20.34,57.76,69.8,73,40,11.41,MU,1595027242
Berlevåg,70.86,29.09,58.42,71,100,12.08,NO,1595026984
Olafsvik,64.89,-23.71,46.36,80,76,28.7,IS,1595027242
Firovo,57.48,33.7,50.41,95,0,3.27,RU,1595027242
Oriximiná,-1.77,-55.87,81.37,67,23,4.21,BR,1595027242
São Filipe,14.9,-24.5,75.34,79,37,6.93,CV,1595027242
Praia,14.92,-23.51,77.0,69,75,10.29,CV,1595027042
Inuvik,68.35,-133.72,64.4,48,75,5.82,CA,1595027243
Kudahuvadhoo,2.67,72.89,84.15,69,81,6.55,MV,1595027243
Provideniya,64.38,-173.3,51.71,88,96,4.16,RU,1595027243
